station_id	latitude	longtitude	stationname
221	40120	41.829353	-87.680622	35th/Archer
223	40720	41.780309	-87.605857	East 63rd-Cottage Grove
224	41120	41.831677	-87.625826	35-Bronzeville-IIT
229	40360	41.943744	-87.663619	Southport
236	41290	41.967901	-87.713065	Kimball
237	41200	41.973453	-87.65853	Argyle
247	41490	41.874039	-87.627479	Harrison
250	40970	41.871574	-87.745154	Cicero-Forest Park
259	41440	41.947028	-87.674642	Addison-Brown
282	41050	42.073153	-87.69073	Linden
285	40690	42.041655	-87.681602	Dempster
144	40200	41.884431	-87.626149	Randolph/Wabash
1451	40640	41.882023	-87.626098	Madison/Wabash
1461	40500	41.8837	-87.6278	Washington/State
147	41580	41.884914	-87.711327	Homan
